,Precision,Recall,F1,Support
astro-ph.CO,0.6039603960396039,0.5545454545454546,0.5781990521327014,220.0
astro-ph.EP,0.7793103448275862,0.7290322580645161,0.7533333333333333,155.0
astro-ph.GA,0.6,0.49411764705882355,0.5419354838709678,170.0
astro-ph.HE,0.6794258373205742,0.6255506607929515,0.6513761467889908,227.0
astro-ph.IM,0.5609756097560976,0.6117021276595744,0.5852417302798982,188.0
astro-ph.SR,0.6537313432835821,0.7821428571428571,0.7121951219512195,280.0
cond-mat.dis-nn,0.6170212765957447,0.29,0.3945578231292517,100.0
cond-mat.mes-hall,0.5506993006993007,0.5811808118081181,0.5655296229802513,542.0
cond-mat.mtrl-sci,0.5222437137330754,0.6367924528301887,0.5738575982996812,424.0
cond-mat.other,0.4,0.029411764705882353,0.0547945205479452,68.0
cond-mat.quant-gas,0.5897435897435898,0.6433566433566433,0.6153846153846154,143.0
cond-mat.soft,0.5269230769230769,0.5780590717299579,0.5513078470824949,237.0
cond-mat.stat-mech,0.34890965732087226,0.3822525597269625,0.36482084690553745,293.0
cond-mat.str-el,0.5555555555555556,0.4827586206896552,0.5166051660516605,290.0
cond-mat.supr-con,0.7011494252873564,0.7134502923976608,0.7072463768115942,171.0
cs.AI,0.3512396694214876,0.2833333333333333,0.31365313653136534,300.0
cs.AR,0.56,0.3684210526315789,0.4444444444444444,38.0
cs.CC,0.44,0.28205128205128205,0.34375,39.0
cs.CE,0.1111111111111111,0.0196078431372549,0.03333333333333333,51.0
cs.CG,0.2631578947368421,0.20833333333333334,0.23255813953488372,24.0
cs.CL,0.7175757575757575,0.7935656836461126,0.7536600891152132,746.0
cs.CR,0.6309963099630996,0.6218181818181818,0.6263736263736264,275.0
cs.CV,0.686300463269358,0.8322632423756019,0.7522669568371418,1246.0
cs.CY,0.3684210526315789,0.3971631205673759,0.3822525597269625,141.0
cs.DB,0.47540983606557374,0.3972602739726027,0.43283582089552236,73.0
cs.DC,0.5027932960893855,0.5521472392638037,0.5263157894736842,163.0
cs.DL,0.6578947368421053,0.4807692307692308,0.5555555555555556,52.0
cs.DM,0.0,0.0,0.0,37.0
cs.DS,0.35,0.4307692307692308,0.38620689655172413,65.0
cs.ET,0.4782608695652174,0.3142857142857143,0.3793103448275862,35.0
cs.FL,0.6428571428571429,0.34615384615384615,0.45,26.0
cs.GL,0.0,0.0,0.0,5.0
cs.GR,0.4583333333333333,0.3055555555555556,0.36666666666666664,36.0
cs.GT,0.4819277108433735,0.5633802816901409,0.5194805194805194,71.0
cs.HC,0.5131578947368421,0.5306122448979592,0.5217391304347826,147.0
cs.IR,0.5050505050505051,0.36764705882352944,0.425531914893617,136.0
cs.IT,0.6854460093896714,0.6666666666666666,0.6759259259259259,438.0
cs.LG,0.49444444444444446,0.6592592592592592,0.5650793650793651,1080.0
cs.LO,0.5263157894736842,0.5833333333333334,0.5533596837944664,120.0
cs.MA,0.4,0.125,0.19047619047619047,32.0
cs.MM,0.5833333333333334,0.18421052631578946,0.28,38.0
cs.MS,1.0,0.2,0.3333333333333333,10.0
cs.NA,1.0,0.09090909090909091,0.16666666666666666,11.0
cs.NE,0.359375,0.3026315789473684,0.32857142857142857,76.0
cs.NI,0.49295774647887325,0.546875,0.5185185185185185,192.0
cs.OH,0.6,0.1111111111111111,0.1875,27.0
cs.OS,0.0,0.0,0.0,6.0
cs.PF,0.0,0.0,0.0,18.0
cs.PL,0.55,0.4583333333333333,0.5,48.0
cs.RO,0.7191977077363897,0.7470238095238095,0.7328467153284671,336.0
cs.SC,0.0,0.0,0.0,11.0
cs.SD,0.47560975609756095,0.42391304347826086,0.4482758620689655,92.0
cs.SE,0.5625,0.559322033898305,0.5609065155807366,177.0
cs.SI,0.4690265486725664,0.4108527131782946,0.4380165289256198,129.0
cs.SY,0.2857142857142857,0.06666666666666667,0.10810810810810811,60.0
econ.EM,0.4090909090909091,0.23076923076923078,0.29508196721311475,39.0
econ.GN,0.3142857142857143,0.28205128205128205,0.2972972972972973,39.0
econ.TH,0.25,0.125,0.16666666666666666,16.0
eess.AS,0.5061728395061729,0.5256410256410257,0.5157232704402516,78.0
eess.IV,0.5384615384615384,0.3349282296650718,0.41297935103244837,209.0
eess.SP,0.3630952380952381,0.3096446700507614,0.33424657534246577,197.0
eess.SY,0.475,0.472636815920398,0.47381546134663344,201.0
gr-qc,0.6594911937377691,0.7262931034482759,0.6912820512820513,464.0
hep-ex,0.6964285714285714,0.5064935064935064,0.5864661654135338,77.0
hep-lat,0.5737704918032787,0.44871794871794873,0.5035971223021583,78.0
hep-ph,0.6650246305418719,0.6887755102040817,0.6766917293233082,392.0
hep-th,0.5255102040816326,0.5659340659340659,0.544973544973545,364.0
math-ph,0.22435897435897437,0.16587677725118483,0.1907356948228883,211.0
math.AC,0.5882352941176471,0.5357142857142857,0.5607476635514018,56.0
math.AG,0.567741935483871,0.6848249027237354,0.6208112874779541,257.0
math.AP,0.5290519877675841,0.6360294117647058,0.5776293823038398,272.0
math.AT,0.4583333333333333,0.3142857142857143,0.3728813559322034,70.0
math.CA,0.3835616438356164,0.3010752688172043,0.3373493975903614,93.0
math.CO,0.5347222222222222,0.6666666666666666,0.5934489402697495,231.0
math.CT,0.4634146341463415,0.5,0.4810126582278481,38.0
math.CV,0.5,0.38095238095238093,0.43243243243243246,63.0
math.DG,0.5613207547169812,0.6432432432432432,0.5994962216624685,185.0
math.DS,0.5222929936305732,0.3886255924170616,0.44565217391304346,211.0
math.FA,0.46875,0.41284403669724773,0.43902439024390244,109.0
math.GM,0.2222222222222222,0.16,0.18604651162790697,25.0
math.GN,0.4444444444444444,0.25,0.32,16.0
math.GR,0.6125,0.620253164556962,0.6163522012578616,79.0
math.GT,0.632,0.6030534351145038,0.6171875,131.0
math.HO,0.28125,0.3333333333333333,0.3050847457627119,27.0
math.KT,0.3333333333333333,0.05,0.08695652173913043,20.0
math.LO,0.45588235294117646,0.5081967213114754,0.4806201550387597,61.0
math.MG,0.3611111111111111,0.26,0.3023255813953488,50.0
math.NA,0.49693251533742333,0.5977859778597786,0.542713567839196,271.0
math.NT,0.6428571428571429,0.6702127659574468,0.65625,188.0
math.OA,0.47058823529411764,0.3902439024390244,0.4266666666666667,41.0
math.OC,0.4906166219839142,0.538235294117647,0.5133239831697055,340.0
math.PR,0.5229007633587787,0.5805084745762712,0.5502008032128514,236.0
math.QA,0.41025641025641024,0.32,0.3595505617977528,50.0
math.RA,0.38666666666666666,0.3493975903614458,0.3670886075949367,83.0
math.RT,0.4358974358974359,0.34,0.38202247191011235,100.0
math.SG,0.65,0.3611111111111111,0.4642857142857143,36.0
math.SP,0.43478260869565216,0.3225806451612903,0.37037037037037035,31.0
math.ST,0.45454545454545453,0.36,0.4017857142857143,125.0
nlin.AO,0.2857142857142857,0.08,0.125,25.0
nlin.CD,0.475,0.37254901960784315,0.4175824175824176,51.0
nlin.CG,0.5,0.2857142857142857,0.36363636363636365,7.0
nlin.PS,0.3333333333333333,0.3225806451612903,0.32786885245901637,31.0
nlin.SI,0.6842105263157895,0.2708333333333333,0.3880597014925373,48.0
nucl-ex,0.4782608695652174,0.4074074074074074,0.44,27.0
